aspects,sentiments,snippets,target,sentence,combined,news
Stock/Price Action/Bearish/Bearish Behavior,-0.304,near a 3 drop thats a lot,AAPL,$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,near a 3 drop thats a lot $AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,near drop thats lot aapl near drop thats lot best hold er lol
Corporate/Dividend Policy,0.52,gonna give solid gains and a dividend,HCP,$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,gonna give solid gains and a dividend $HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,gonna give solid gains dividend hcp come party buy gonna give solid gains dividend
Stock/Price Action/Bullish,0.3,If positive stock quickly moves to 10. Downside limited.,ONTY,"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.","If positive stock quickly moves to 10. Downside limited. $ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",positive stock quickly moves downside limited onty continues base debate lingers ont data next potential catalyst positive stock quickly moves downside limited
Stock/Price Action/Bullish,0.351,Looks like bear traps getting laid,SPY,$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,Looks like bear traps getting laid $SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,looks like bear traps getting laid spy looks like bear traps getting laid faster cadbury creme eggs easter bunny
Corporate/Financial/Accounting/Cash Reserves,0.493,great cash balance and impressive growth rate,BBRY,$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,great cash balance and impressive growth rate $BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,great cash balance impressive growth rate bbry sierra great cash balance impressive growth ratewould wonderful marriage
Market/Conditions,-0.236,same conditions that sent markets to tumble all hitting this week,IWM,$IWM same conditions that sent markets to tumble all hitting this week,same conditions that sent markets to tumble all hitting this week $IWM same conditions that sent markets to tumble all hitting this week,conditions sent markets tumble hitting week iwm conditions sent markets tumble hitting week
Stock/Price Action/Bullish/Bull Position,0.668,time to accumulate for a long position,CRK,$CRK time to accumulate for a long position with far more upside than downside,time to accumulate for a long position $CRK time to accumulate for a long position with far more upside than downside,time accumulate long position crk time accumulate long position far upside downside
Stock/Technical Analysis,-0.532,bearish engulfing candle,BWLD,$BWLD bearish engulfing candle,bearish engulfing candle $BWLD bearish engulfing candle,bearish engulfing candle bwld bearish engulfing candle
Stock/Signal/Sell Signal,-0.541,SELL signal by NDX internals,QQQ,for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,SELL signal by NDX internals for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,sell signal ndx internals vnoto follow  sell signal ndx internals   technical sell qqq   
Stock/Coverage/Credit Rating,0.526,Affirms A Credit Rating,AWR,$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,Affirms A Credit Rating $AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,affirms credit rating awr standard  poors affirms credit rating american states water company golden state water company httpstkscofp
Stock/Signal/Sell Signal,-0.192,set to sell Kipa Giraffe businesses,Kipa,"Tesco set to sell Kipa, Giraffe businesses - Sky News","set to sell Kipa Giraffe businesses Tesco set to sell Kipa, Giraffe businesses - Sky News",set sell kipa giraffe businesses tesco set sell kipa giraffe businesses  sky news
Stock/Price Action/Bullish,0.538,Get ready for the bull ride,FREE,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,Get ready for the bull ride $FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,get ready bull ride free ha heeeeeere comes pump glad picked k end day get ready bull ride
Stock/Price Action/Bullish,0.695,still very undervalued and has major upside,NUAN,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,still very undervalued and has major upside $NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,still undervalued major upside nuan held well big gains maybe finally move thisits still undervalued major upside
Stock/Price Action/Bearish/Bearish Behavior,-0.545,looks set to fall further,MCD,Why $MCD looks set to fall further. http://stks.co/f2fgj,looks set to fall further Why $MCD looks set to fall further. http://stks.co/f2fgj,looks set fall mcd looks set fall httpstkscoffgj
Market/Volatility,0.153,Being very tender with cash due to volatility,GILD,@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,Being very tender with cash due to volatility @technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,tender cash due volatility technik still smaller gild pos tender cash due volatility reluctant keep many big positions
Stock/Price Action/Bullish/Bull Position,0.724,bot some 78.47 breakout from the consolidation zone,FB,$FB bot some @78.47 breakout from the consolidation zone :D,bot some 78.47 breakout from the consolidation zone $FB bot some @78.47 breakout from the consolidation zone :D,bot breakout consolidation zone fb bot breakout consolidation zone 
Stock/Price Action/Bearish,0.126,Potential intermediate top in an Uptrend,CRM,$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,Potential intermediate top in an Uptrend $XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,potential intermediate top uptrend xli potential intermediate top uptrend charts httpstkscojtdf
Corporate/Rumors/Rumors,-0.278,takeover rumor,TWTR,$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,takeover rumor $TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,takeover rumor twtr sad thing move takeover rumor sold next day
Stock/Price Action/Bullish,0.368,Long term uptrend intract so far,VRTX,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far","Long term uptrend intract so far $VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",long term uptrend intract far vrtx vertex monthly lower hilower lo  long term uptrend intract far
Corporate/Sales,0.42,sees sales grow,Tesco,Relief for Lewis as Tesco sees sales grow for first time in a year,sees sales grow Relief for Lewis as Tesco sees sales grow for first time in a year,sees sales grow relief lewis tesco sees sales grow first time year
Stock/Price Action/Bearish/Bearish Behavior,-0.628,PLUNGING,GEVO,$GEVO PLUNGING!  Back to $3.55.,PLUNGING $GEVO PLUNGING!  Back to $3.55.,plunging gevo plunging  back 
Stock/Technical Analysis,-0.517,still failing to close above the 10D MA,XLE,energy still failing to close above the 10D MA.  continues to stand out weak $XLE,still failing to close above the 10D MA energy still failing to close above the 10D MA.  continues to stand out weak $XLE,still failing close energy still failing close continues stand weak xle
Stock/Technical Analysis,0.253,HeadShoulders bullish reversal setup and breakout,USO,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,HeadShoulders bullish reversal setup and breakout $ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,headshoulders bullish reversal setup breakout enbca headshoulders bullish reversal setup breakout oil gas pipleline stock uso
Corporate/M&A/M&A,0.259,to Acquire AdeS SoyBased Beverage Business From Unilever,CocaCola Companp,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,to Acquire AdeS SoyBased Beverage Business From Unilever The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,acquire ades soybased beverage business unilever cocacola company cocacola femsa acquire ades soybased beverage business unilever
Stock/Price Action/Bullish,0.4,bullish story intact,IMRS,"$IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over","bullish story intact $IMRS - it's important to be pragmatic in analysis...high prices could offer head-winds....bullish story intact,evenif the market rolls over",bullish story intact imrs  important pragmatic analysishigh prices could offer headwindsbullish story intactevenif market rolls 
Corporate/Sales/Contract Withdrawn,-0.596,Shares Pounded On Fears Of Loss Of Business From,MU,Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,Shares Pounded On Fears Of Loss Of Business From Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,shares pounded fears loss business micron shares pounded fears loss business apple stifel defends aapl mu httpstkscotzt marjo
Stock/Technical Analysis,0.496,ABC Bullish Pattern,CHKP,"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy","ABC Bullish Pattern $CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",abc bullish pattern chkp abc bullish pattern targets httpstcouvmmrsrzy
Stock/Price Action/Bullish,0.582,Amazing rebound,TSLA,$TSLA is now up 57% from its February low. Amazing rebound.,Amazing rebound $TSLA is now up 57% from its February low. Amazing rebound.,amazing rebound tsla february low amazing rebound
Stock/Coverage/AnalystRatings/Downgrade,-0.446,downgraded to neutral,SBUX,$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,downgraded to neutral $SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,downgraded neutral sbux downgraded neutral deutsche bank price target reduced 
Stock/Price Action/Bearish/Bearish Behavior,-0.469,down 2.3 today and down 8.9 since being put on The Short,MU,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU","down 2.3 today and down 8.9 since being put on The Short Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",today since put short micron technology inc nasdaq mu today since put short httpstcoeqqltfuiou
Stock/Technical Analysis,0.313,About to break out on the 5min,YHOO,$YHOO About to break out on the 5-min...,About to break out on the 5min $YHOO About to break out on the 5-min...,break min yhoo break min
Stock/Technical Analysis,0.188,91 now support,IBB,$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,91 now support $GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,support gild  support ibb bib httpstcogioofzbkv
Corporate/Legal,-0.434,585 Million Charge on Settlement,HSBC,HSBC Says Unit to Book $585 Million Charge on Settlement,585 Million Charge on Settlement HSBC Says Unit to Book $585 Million Charge on Settlement,million charge settlement hsbc says unit book  million charge settlement
Stock/Price Action/Bearish/Bearish Behavior,-0.39,Thats an impressive bearish move,FB,$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,Thats an impressive bearish move $FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,thats impressive bearish move fb bearish pattern  considering bullish sentiment  thats impressive bearish move httpstcotajfchqh
Corporate/M&A/M&A,0.427,secure ownership of Irelands Dundrum  Quick Facts,JV Partner,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts","secure ownership of Irelands Dundrum  Quick Facts Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",secure ownership irelands dundrum  quick facts hammerson jv partner secure ownership irelands dundrum  quick facts
Stock/Price Action/Bullish/Bull Position,0.388,long,SAVE,$SAVE long. https://t.co/yEJuS9cMlC,long $SAVE long. https://t.co/yEJuS9cMlC,long save long httpstcoyejuscmlc
Stock/Price Action/Volatility/Short Selling,-0.385,Now it is time to short,TSLA,@mugatushair Now it is time to short $TSLA,Now it is time to short @mugatushair Now it is time to short $TSLA,time short mugatushair time short tsla
Stock/Technical Analysis,-0.14,held the 50 day moving average,COST,$COST Costco less than stellar day but it held the 50 day moving average,held the 50 day moving average $COST Costco less than stellar day but it held the 50 day moving average,held day moving average cost costco less stellar day held day moving average
